"Results","Agent","Map","Placement","Average Rank of Match","Average Combat Score (ACS)","K/D","KAST%","First Death"
"1",50.6666666666667,49.3150684931507,45.8823529411765,54.8387096774194,113,0.6,71,4
"1",50.6666666666667,51.5625,45.8823529411765,53.3333333333333,109,0.5,87,1
"0",33.3333333333333,51.7241379310345,42.4657534246575,53.3333333333333,203,1,68,2
"0",33.3333333333333,52.112676056338,59.2592592592593,50,147,0.5,71,4
"0",50.6666666666667,52.112676056338,53.3333333333333,50,250,1,75,0
"1",50.6666666666667,51.7241379310345,55.5555555555556,50,270,1.36363636363636,75,2
"0",50.6666666666667,52.112676056338,45.8823529411765,44.8275862068966,100,0.153846153846154,23,1
"1",50.6666666666667,49.2753623188406,45.8823529411765,44.8275862068966,143,0.8125,65,1
"1",33.3333333333333,51.7241379310345,59.2592592592593,44.8275862068966,150,0.666666666666667,79,2
"1",50.6666666666667,52.112676056338,45.8823529411765,50,115,0.583333333333333,67,1
"1",50.6666666666667,49.3150684931507,59.2592592592593,44.8275862068966,130,0.5,57,6
"1",50.6666666666667,51.7241379310345,45.8823529411765,44.8275862068966,117,0.5625,73,3
"1",50.6666666666667,52.112676056338,53.3333333333333,44.8275862068966,170,1.71428571428571,82,0
"1",50.6666666666667,52.112676056338,75,53.3333333333333,160,3,200,1
"1",50.6666666666667,51.7241379310345,45.8823529411765,54.8387096774194,163,0.722222222222222,61,2
"1",50.6666666666667,51.7241379310345,45.4545454545455,53.3333333333333,239,1.4,79,2
"0",71.4285714285714,49.2753623188406,42.1052631578947,54.8387096774194,95,0.294117647058824,73,1
"1",50.6666666666667,51.5625,42.4657534246575,44.8275862068966,170,0.8125,62,3
"0",50.6666666666667,51.5625,45.4545454545455,44.8275862068966,223,0.857142857142857,38,2
"0",50.6666666666667,51.7241379310345,45.4545454545455,44.8275862068966,211,0.666666666666667,59,2
"1",71.4285714285714,49.3150684931507,55.5555555555556,53.3333333333333,306,2,81,2
"1",50.6666666666667,51.5625,71.4285714285714,44.8275862068966,301,1.10526315789474,82,5
"0",50.6666666666667,49.2753623188406,42.4657534246575,44.8275862068966,184,0.733333333333333,61,1
"1",71.4285714285714,52.112676056338,75,53.3333333333333,225,1.38461538461538,87,1
"0",50.6666666666667,49.3150684931507,71.4285714285714,44.8275862068966,339,1.25,79,3
"0",28.5714285714286,49.2753623188406,55.5555555555556,53.3333333333333,316,1.61538461538462,67,2
"0",50.6666666666667,49.2753623188406,45.4545454545455,53.3333333333333,223,0.9375,67,2
"1",50.6666666666667,51.5625,75,44.8275862068966,192,1.55555555555556,72,1
"1",50.6666666666667,51.5625,53.3333333333333,44.8275862068966,212,1.15384615384615,68,2
"0",50.6666666666667,49.2753623188406,53.3333333333333,44.8275862068966,236,1,67,5
"0",50.6666666666667,49.3150684931507,42.1052631578947,50,105,0.315789473684211,30,6
"0",54.4444444444444,49.3150684931507,78.5714285714286,53.3333333333333,271,1,71,2
"1",71.4285714285714,49.2753623188406,55.5555555555556,50,247,3.2,88,0
"1",50.6666666666667,51.5625,59.2592592592593,54.8387096774194,145,0.5,42,2
"0",54.4444444444444,51.5625,53.3333333333333,44.8275862068966,201,1.13333333333333,70,1
"1",54.4444444444444,49.2753623188406,59.2592592592593,44.8275862068966,158,0.75,62,1
"1",54.4444444444444,51.5625,45.8823529411765,54.8387096774194,184,0.888888888888889,65,1
"0",54.4444444444444,49.2753623188406,45.8823529411765,44.8275862068966,120,0.533333333333333,57,0
"1",50.6666666666667,49.2753623188406,42.1052631578947,54.8387096774194,85,0.454545454545455,65,2
"0",54.4444444444444,49.3150684931507,45.8823529411765,44.8275862068966,160,0.611111111111111,60,1
"0",54.4444444444444,51.7241379310345,42.1052631578947,44.8275862068966,101,0.411764705882353,43,2
"0",54.4444444444444,49.3150684931507,55.5555555555556,44.8275862068966,278,1.33333333333333,86,0
"0",48.1481481481481,51.5625,53.3333333333333,50,200,0.928571428571429,67,0
"0",54.4444444444444,49.2753623188406,75,53.3333333333333,198,1,50,0
"1",54.4444444444444,51.7241379310345,75,54.8387096774194,227,1.23076923076923,75,1
"0",54.4444444444444,52.112676056338,53.3333333333333,44.8275862068966,201,0.818181818181818,79,2
"0",54.4444444444444,49.3150684931507,42.1052631578947,44.8275862068966,119,0.375,72,1
"1",54.4444444444444,52.112676056338,59.2592592592593,44.8275862068966,145,0.9,83,1
"1",54.4444444444444,49.3150684931507,75,53.3333333333333,191,1.2,81,1
"1",50.6666666666667,51.5625,42.4657534246575,53.3333333333333,170,1.3,71,0
"0",33.3333333333333,52.112676056338,45.8823529411765,44.8275862068966,166,0.6875,67,1
"0",54.4444444444444,51.5625,42.4657534246575,53.3333333333333,157,0.631578947368421,71,3
"1",54.4444444444444,49.2753623188406,45.8823529411765,44.8275862068966,138,0.857142857142857,68,2
"1",50.6666666666667,52.112676056338,71.4285714285714,50,392,2.875,94,2
"1",100,51.5625,71.4285714285714,53.3333333333333,344,1.42105263157895,75,3
"0",54.4444444444444,52.112676056338,45.4545454545455,44.8275862068966,236,1.07692307692308,74,1
"1",71.4285714285714,52.112676056338,71.4285714285714,50,385,4.66666666666667,100,1
"1",54.4444444444444,55.8139534883721,45.4545454545455,44.8275862068966,199,1.30769230769231,77,2
"0",54.4444444444444,51.5625,42.4657534246575,44.8275862068966,193,0.80952380952381,82,1
"1",54.4444444444444,52.112676056338,53.3333333333333,44.8275862068966,209,1.54545454545455,80,0
"1",54.4444444444444,49.2753623188406,45.8823529411765,44.8275862068966,109,0.875,88,0
"0",54.4444444444444,55.8139534883721,42.1052631578947,44.8275862068966,116,0.421052631578947,59,2
"1",54.4444444444444,49.3150684931507,45.8823529411765,55.5555555555556,100,0.526315789473684,61,4
"1",54.4444444444444,51.5625,42.1052631578947,55.5555555555556,167,0.857142857142857,81,2
"0",54.4444444444444,52.112676056338,42.4657534246575,53.3333333333333,157,0.571428571428571,50,4
