"Results","Agent","Map","Placement","Duration (min)","Average Rank of Match","Average Combat Score (ACS)","A","K/D","Average Damage Per Round (ADR)","HS%","KAST%","First Kill","First Death","MK (Multikill)","Econ"
"1",50.6666666666667,52.112676056338,45.8823529411765,28,50,115,2,0.583333333333333,58.8,14,67,0,1,0,34
"1",50.6666666666667,49.3150684931507,59.2592592592593,33,44.8275862068966,130,2,0.5,71.9,23,57,2,6,0,28
"1",50.6666666666667,51.7241379310345,45.8823529411765,34,44.8275862068966,117,4,0.5625,93.1,29,73,0,3,0,44
"1",50.6666666666667,52.112676056338,53.3333333333333,28,44.8275862068966,170,4,1.71428571428571,172.6,17,82,0,0,0,108
"1",50.6666666666667,52.112676056338,75,7,53.3333333333333,160,2,3,122,67,200,0,1,0,122
"1",50.6666666666667,51.7241379310345,45.8823529411765,47,54.8387096774194,163,3,0.722222222222222,82,61,61,1,2,2,34
"1",50.6666666666667,51.7241379310345,45.4545454545455,41,53.3333333333333,239,5,1.4,148.8,17,79,2,2,2,71
"0",71.4285714285714,49.2753623188406,42.1052631578947,38,54.8387096774194,95,9,0.294117647058824,67.2,22,73,1,1,0,30
"1",50.6666666666667,51.5625,42.4657534246575,33,44.8275862068966,170,4,0.8125,120.7,42,62,1,3,2,53
"0",50.6666666666667,51.5625,45.4545454545455,28,44.8275862068966,223,0,0.857142857142857,122.1,42,38,1,2,2,55
"0",50.6666666666667,51.7241379310345,45.4545454545455,38,44.8275862068966,211,6,0.666666666666667,134.6,24,59,5,2,1,49
"1",71.4285714285714,49.3150684931507,55.5555555555556,43,53.3333333333333,306,7,2,182.4,20,81,3,2,3,81
"1",50.6666666666667,51.5625,71.4285714285714,36,44.8275862068966,301,5,1.10526315789474,181.5,22,82,3,5,1,67
"0",50.6666666666667,49.2753623188406,42.4657534246575,28,44.8275862068966,184,3,0.733333333333333,117.1,14,61,2,1,0,50
"1",71.4285714285714,52.112676056338,75,37,53.3333333333333,225,7,1.38461538461538,139.7,20,87,3,1,0,82
"0",50.6666666666667,49.3150684931507,71.4285714285714,34,44.8275862068966,339,5,1.25,214.2,12,79,4,3,1,86
"0",28.5714285714286,49.2753623188406,55.5555555555556,33,53.3333333333333,316,5,1.61538461538462,230.8,10,67,1,2,2,118
"0",50.6666666666667,49.2753623188406,45.4545454545455,36,53.3333333333333,223,3,0.9375,162.9,20,67,3,2,1,65
"1",50.6666666666667,51.5625,75,29,44.8275862068966,192,2,1.55555555555556,96.2,14,72,2,1,1,52
"1",50.6666666666667,51.5625,53.3333333333333,31,44.8275862068966,212,1,1.15384615384615,146.1,24,68,2,2,1,84
"0",50.6666666666667,49.2753623188406,53.3333333333333,38,44.8275862068966,236,5,1,148.2,26,67,1,5,2,61
"0",50.6666666666667,49.3150684931507,42.1052631578947,32,50,105,1,0.315789473684211,84.5,17,30,2,6,0,36
"0",54.4444444444444,49.3150684931507,78.5714285714286,31,53.3333333333333,271,4,1,157.9,18,71,4,2,1,61
"1",71.4285714285714,49.2753623188406,55.5555555555556,24,50,247,2,3.2,148.7,16,88,3,0,0,99
"1",50.6666666666667,51.5625,59.2592592592593,27,54.8387096774194,145,1,0.5,97.8,17,42,3,2,1,40
"0",54.4444444444444,51.5625,53.3333333333333,43,44.8275862068966,201,6,1.13333333333333,128.7,27,70,3,1,0,56
"1",54.4444444444444,49.2753623188406,59.2592592592593,38,44.8275862068966,158,9,0.75,84.2,6,62,1,1,1,37
"1",54.4444444444444,51.5625,45.8823529411765,45,54.8387096774194,184,6,0.888888888888889,131.9,23,65,0,1,1,50
"0",54.4444444444444,49.2753623188406,45.8823529411765,40,44.8275862068966,120,5,0.533333333333333,95.9,26,57,0,0,0,46
"1",50.6666666666667,49.2753623188406,42.1052631578947,26,54.8387096774194,85,7,0.454545454545455,49.6,23,65,0,2,0,22
"0",54.4444444444444,49.3150684931507,45.8823529411765,33,44.8275862068966,160,4,0.611111111111111,95.9,28,60,3,1,0,34
