"Results","Agent","Map","Placement","Duration (min)","Average Rank of Match","Average Combat Score (ACS)","A","K/D","Average Damage Per Round (ADR)","HS%","KAST%","First Kill","First Death","MK (Multikill)","Econ"
"1",54.4444444444444,49.3150684931507,59.2592592592593,30,44.8275862068966,132,6,0.666666666666667,111.2,28,74,2,2,0,50
"0",54.4444444444444,49.3150684931507,53.3333333333333,32,54.8387096774194,214,9,0.8,128.8,13,72,2,3,1,52
"1",54.4444444444444,51.5625,45.8823529411765,26,44.8275862068966,125,6,0.777777777777778,98.4,37,80,1,0,0,43
"0",54.4444444444444,49.3150684931507,45.8823529411765,41,55.5555555555556,159,13,0.65,102.4,33,75,2,0,0,44
"0",66.6666666666667,52.112676056338,45.4545454545455,24,46.1538461538462,270,0,1.08333333333333,192,22,64,1,0,1,84
"0",28.5714285714286,49.2753623188406,42.1052631578947,35,46.1538461538462,40,8,0.1,32.4,14,45,0,4,0,11
"0",54.4444444444444,51.7241379310345,53.3333333333333,52,55.5555555555556,213,12,1.21052631578947,140.5,29,87,0,2,1,47
"1",54.4444444444444,51.7241379310345,45.8823529411765,43,46.1538461538462,128,14,0.55,127.3,23,65,0,0,0,43
"1",54.4444444444444,51.7241379310345,42.4657534246575,35,54.8387096774194,197,12,1.18181818181818,122.3,18,68,0,1,1,58
"0",54.4444444444444,51.5625,42.1052631578947,39,55.5555555555556,140,5,0.684210526315789,102.6,20,62,0,1,1,37
"1",54.4444444444444,49.3150684931507,75,28,46.1538461538462,210,3,2,142.8,28,89,0,0,1,73
"1",54.4444444444444,51.5625,53.3333333333333,33,53.3333333333333,168,1,1.1,113.7,17,84,1,2,0,54
"1",54.4444444444444,52.112676056338,59.2592592592593,36,44.8275862068966,131,6,0.625,99.3,26,78,1,2,0,43
"0",28.5714285714286,52.112676056338,59.2592592592593,34,54.8387096774194,154,2,0.785714285714286,97.8,26,65,0,0,0,45
"0",50.6666666666667,49.2753623188406,45.4545454545455,36,54.8387096774194,252,3,1.2,156.9,27,75,3,2,2,69
"1",54.4444444444444,51.5625,45.8823529411765,32,54.8387096774194,134,8,0.8,83.8,22,75,3,1,0,37
"1",48.1481481481481,51.7241379310345,59.2592592592593,26,54.8387096774194,131,5,0.727272727272727,87,24,82,0,1,1,38
"1",28.5714285714286,52.112676056338,53.3333333333333,43,44.8275862068966,171,3,0.875,154.6,20,58,2,3,1,60
"1",54.4444444444444,52.112676056338,42.4657534246575,33,54.8387096774194,182,11,1.2,129.7,29,83,1,1,0,55
"1",54.4444444444444,49.3150684931507,75,42,46.1538461538462,206,7,1.0625,117.3,15,65,0,2,2,51
"0",54.4444444444444,52.112676056338,42.1052631578947,34,46.1538461538462,129,7,0.666666666666667,88.5,10,62,0,2,0,44
"1",54.4444444444444,49.2753623188406,42.4657534246575,18,60,132,6,2,98.5,17,92,0,0,1,55
"1",54.4444444444444,49.3150684931507,59.2592592592593,34,60,165,11,0.6875,111.3,24,73,1,2,1,49
"0",54.4444444444444,51.5625,42.4657534246575,41,55.5555555555556,176,6,0.764705882352941,133.9,31,71,1,1,1,51
"0",30,52.112676056338,42.1052631578947,34,54.8387096774194,120,7,0.277777777777778,107.8,9,45,0,6,0,43
"0",54.4444444444444,49.2753623188406,42.1052631578947,42,55.5555555555556,170,6,0.777777777777778,125.4,41,70,0,2,1,50
"0",50.6666666666667,55.8139534883721,75,54,44.8275862068966,199,4,0.782608695652174,142.7,27,68,5,1,1,50
"0",50.6666666666667,52.112676056338,45.4545454545455,39,44.8275862068966,216,4,1.21428571428571,148.1,16,82,3,3,2,63
"0",50.6666666666667,49.3150684931507,42.1052631578947,30,44.8275862068966,85,1,0.428571428571429,65.5,17,47,0,4,0,27
"0",50.6666666666667,49.2753623188406,45.4545454545455,28,44.8275862068966,278,0,1.06666666666667,173.4,31,62,2,1,3,71
"1",50.6666666666667,45.2380952380952,78.5714285714286,43,44.8275862068966,270,2,1.35294117647059,175.5,30,96,3,3,1,72
"1",50.6666666666667,45.2380952380952,42.4657534246575,38,54.8387096774194,149,7,0.714285714285714,92.5,22,65,3,4,0,42
"1",54.4444444444444,51.5625,45.4545454545455,21,54.8387096774194,216,6,2,148.9,42,86,2,1,1,90
"1",50.6666666666667,55.8139534883721,59.2592592592593,33,55.5555555555556,108,1,0.571428571428571,83,41,60,3,1,0,30
"1",54.4444444444444,52.112676056338,42.1052631578947,51,55.5555555555556,72,6,0.388888888888889,47,29,61,1,2,0,16
"0",54.4444444444444,51.5625,45.8823529411765,25,44.8275862068966,139,6,0.75,166.3,30,71,1,0,0,68
"0",33.3333333333333,49.3150684931507,45.8823529411765,44,44.8275862068966,149,11,0.65,108.3,26,81,0,0,0,40
"1",50.6666666666667,52.112676056338,55.5555555555556,53,44.8275862068966,237,7,1.04761904761905,161.3,20,80,6,1,1,56
"1",54.4444444444444,49.2753623188406,53.3333333333333,37,54.8387096774194,185,6,1.27272727272727,104.4,20,79,0,1,1,48
"0",50.6666666666667,51.7241379310345,45.8823529411765,31,55.5555555555556,119,8,0.4,94,35,58,1,3,0,43
"0",54.4444444444444,45.2380952380952,42.4657534246575,10,44.8275862068966,97,2,0.4,65.7,0,14,0,0,0,38
"0",54.4444444444444,51.5625,45.8823529411765,30,54.8387096774194,147,8,0.625,93.5,26,80,0,2,0,41
"1",54.4444444444444,45.2380952380952,53.3333333333333,28,54.8387096774194,173,9,1.5,117.7,9,88,1,1,0,60
"0",28.5714285714286,49.3150684931507,53.3333333333333,39,54.8387096774194,180,5,0.882352941176471,109.5,15,62,0,1,1,44
"1",54.4444444444444,52.112676056338,59.2592592592593,38,44.8275862068966,175,11,1.2,129,18,71,2,3,1,64
"0",54.4444444444444,49.3150684931507,53.3333333333333,30,54.8387096774194,180,5,0.647058823529412,119.2,18,58,3,2,0,46
"1",28.5714285714286,49.2753623188406,42.1052631578947,42,61.5384615384615,131,6,0.526315789473684,111.1,18,65,0,2,0,45
"0",30,51.7241379310345,42.1052631578947,33,46.1538461538462,122,5,0.466666666666667,95.3,10,60,1,2,0,37
"0",54.4444444444444,55.8139534883721,42.4657534246575,43,55.5555555555556,157,9,0.8125,115.3,26,71,0,0,1,48
"0",50.6666666666667,51.7241379310345,42.1052631578947,38,54.8387096774194,154,4,0.647058823529412,114.6,15,59,1,2,0,48
"1",50.6666666666667,51.5625,45.8823529411765,34,60,151,4,0.764705882352941,117.8,25,61,1,3,0,48
"0",54.4444444444444,45.2380952380952,45.8823529411765,34,54.8387096774194,138,8,0.846153846153846,81.3,23,60,1,1,1,36
"1",45.4545454545455,52.112676056338,59.2592592592593,27,54.8387096774194,127,5,1.33333333333333,136.2,14,88,0,0,0,62
"1",54.4444444444444,49.3150684931507,45.4545454545455,33,55.5555555555556,235,8,1.33333333333333,161.4,24,74,0,3,3,69
"0",54.4444444444444,49.2753623188406,45.8823529411765,42,54.8387096774194,141,7,0.55,91.2,15,74,0,3,0,35
"0",50.6666666666667,55.8139534883721,53.3333333333333,40,55.5555555555556,191,5,0.875,141.7,29,73,2,1,0,63
"1",54.4444444444444,51.7241379310345,42.4657534246575,44,44.8275862068966,178,13,0.8,124.5,18,68,0,1,0,45
"0",54.4444444444444,45.2380952380952,42.4657534246575,39,44.8275862068966,179,8,0.8125,119.7,25,87,2,3,0,55
"0",54.4444444444444,49.3150684931507,59.2592592592593,28,55.5555555555556,146,4,0.6,98.2,29,56,1,2,1,40
"0",50.6666666666667,55.8139534883721,75,27,54.8387096774194,222,5,0.8,168.4,19,65,0,1,1,66
"0",30,49.2753623188406,42.4657534246575,32,54.8387096774194,147,2,0.526315789473684,91.9,27,50,3,1,1,32
"1",54.4444444444444,55.8139534883721,75,50,44.8275862068966,242,11,1.27777777777778,169.6,30,68,4,2,2,61
"0",45.4545454545455,49.3150684931507,59.2592592592593,28,54.8387096774194,163,3,0.625,117.7,38,53,1,3,1,49
"0",50.6666666666667,45.2380952380952,55.5555555555556,34,44.8275862068966,322,2,1.35294117647059,215.7,19,55,2,4,5,82
"1",50.6666666666667,52.112676056338,55.5555555555556,45,44.8275862068966,258,5,1.17647058823529,183.1,18,74,2,3,2,69
"0",50.6666666666667,51.7241379310345,45.8823529411765,36,54.8387096774194,168,5,0.647058823529412,112.5,24,67,3,2,0,42
"1",50.6666666666667,49.2753623188406,45.4545454545455,25,54.8387096774194,248,4,1.55555555555556,200.8,33,100,2,0,0,74
"0",54.4444444444444,49.2753623188406,42.1052631578947,36,54.8387096774194,106,6,0.428571428571429,77,13,80,0,0,0,35
"1",54.4444444444444,51.7241379310345,78.5714285714286,37,54.8387096774194,201,9,1.14285714285714,122.3,16,95,3,1,1,44
"1",48.1481481481481,45.2380952380952,45.8823529411765,31,55.5555555555556,163,11,0.642857142857143,117.1,13,74,1,3,1,49
"0",54.4444444444444,51.5625,75,25,55.5555555555556,209,9,0.846153846153846,144,16,65,0,3,0,66
"1",54.4444444444444,55.8139534883721,42.4657534246575,32,55.5555555555556,154,10,0.818181818181818,109.8,18,80,1,2,1,64
"0",54.4444444444444,55.8139534883721,45.4545454545455,33,54.8387096774194,237,8,1.13333333333333,144.8,21,65,1,2,1,57
"0",54.4444444444444,49.3150684931507,59.2592592592593,41,54.8387096774194,155,14,0.705882352941177,97.5,12,75,3,3,0,38
"1",54.4444444444444,51.7241379310345,42.4657534246575,45,54.8387096774194,209,10,1.23529411764706,130.3,10,85,0,3,1,46
"1",54.4444444444444,45.2380952380952,42.1052631578947,28,55.5555555555556,107,3,0.416666666666667,77.7,16,79,1,2,0,32
"1",50.6666666666667,52.112676056338,53.3333333333333,22,54.8387096774194,215,4,1.42857142857143,146.8,15,85,1,1,1,61
"1",28.5714285714286,51.7241379310345,75,32,46.1538461538462,154,7,1.2,116,17,73,0,2,0,77
"1",28.5714285714286,49.3150684931507,42.1052631578947,37,46.1538461538462,131,6,0.533333333333333,79.9,16,76,1,3,1,34
"0",71.4285714285714,51.5625,53.3333333333333,32,46.1538461538462,224,9,0.588235294117647,145.1,12,76,0,2,1,41
"0",48.1481481481481,49.2753623188406,42.1052631578947,32,55.5555555555556,136,3,0.714285714285714,96.9,14,45,1,1,1,39
"1",54.4444444444444,55.8139534883721,42.1052631578947,31,55.5555555555556,135,9,0.571428571428571,109.4,24,74,0,2,0,49
"1",48.1481481481481,45.2380952380952,59.2592592592593,24,55.5555555555556,149,3,2.2,100.9,27,81,0,0,0,59
"1",54.4444444444444,52.112676056338,42.4657534246575,46,55.5555555555556,202,8,0.842105263157895,130.3,11,69,1,2,0,48
"1",54.4444444444444,51.7241379310345,59.2592592592593,39,54.8387096774194,158,10,0.8,98.5,10,73,1,0,1,38
"0",28.5714285714286,45.2380952380952,42.1052631578947,24,54.8387096774194,87,5,0.1875,63.7,10,62,0,0,0,23
"0",50.6666666666667,49.2753623188406,42.1052631578947,29,54.8387096774194,99,2,0.3125,75.5,9,58,1,2,0,31
"1",30,55.8139534883721,55.5555555555556,41,54.8387096774194,279,5,1.46666666666667,192.7,17,75,2,2,2,74
"0",54.4444444444444,49.2753623188406,53.3333333333333,40,55.5555555555556,186,10,0.823529411764706,121.3,18,83,1,3,1,48
"0",54.4444444444444,55.8139534883721,45.8823529411765,36,55.5555555555556,145,12,0.5625,107.8,20,77,1,0,0,40
"0",54.4444444444444,52.112676056338,42.1052631578947,36,55.5555555555556,60,5,0.15,49.2,3,45,0,6,0,18
"0",30,45.2380952380952,42.4657534246575,36,54.8387096774194,179,4,0.571428571428571,110.3,12,62,3,2,1,42
"0",54.4444444444444,52.112676056338,45.8823529411765,36,44.8275862068966,131,3,0.5625,83.8,15,45,1,4,1,32
"0",54.4444444444444,49.2753623188406,59.2592592592593,37,54.8387096774194,177,13,0.857142857142857,120.4,6,76,0,1,0,60
"0",30,55.8139534883721,59.2592592592593,31,54.8387096774194,119,2,0.4375,88.2,9,50,3,3,0,39
"0",50.6666666666667,45.2380952380952,42.4657534246575,26,44.8275862068966,138,4,0.375,96.6,11,59,1,3,0,36
"0",48.1481481481481,49.3150684931507,45.4545454545455,30,50,241,3,0.933333333333333,154.5,16,72,0,3,1,57
"0",48.1481481481481,49.2753623188406,45.4545454545455,40,50,268,6,1.11111111111111,162,7,73,4,2,0,62
"0",48.1481481481481,45.2380952380952,55.5555555555556,54,53.3333333333333,286,7,1.12,184.1,26,83,1,2,1,58
"0",50.6666666666667,49.2753623188406,45.8823529411765,27,44.8275862068966,131,3,0.571428571428571,96.5,24,55,1,4,0,42
"1",48.1481481481481,45.2380952380952,75,30,54.8387096774194,226,4,1.07142857142857,166.1,20,100,2,3,0,66
"0",48.1481481481481,55.8139534883721,45.8823529411765,41,54.8387096774194,131,4,0.625,98.4,6,71,0,1,0,42
"1",54.4444444444444,51.5625,59.2592592592593,38,54.8387096774194,149,7,0.8,97.4,11,73,2,2,1,41
"0",48.1481481481481,49.3150684931507,59.2592592592593,36,46.1538461538462,176,6,0.8125,110,8,57,1,2,1,46
"1",48.1481481481481,45.2380952380952,78.5714285714286,38,54.8387096774194,274,11,1.4375,164.4,13,88,3,0,4,59
"1",54.4444444444444,55.8139534883721,75,30,55.5555555555556,246,3,1.63636363636364,131.8,20,75,2,3,3,56
"1",48.1481481481481,49.2753623188406,45.8823529411765,21,55.5555555555556,102,3,1,71.7,29,79,0,0,0,41
"1",50.6666666666667,51.5625,45.4545454545455,38,55.5555555555556,222,2,1.25,141.9,26,74,3,1,1,56
"1",48.1481481481481,49.3150684931507,45.8823529411765,48,55.5555555555556,141,9,0.736842105263158,93.6,24,63,0,0,1,31
"1",50.6666666666667,49.2753623188406,75,39,54.8387096774194,184,4,0.9375,113.1,16,70,4,1,1,43
"1",54.4444444444444,51.5625,59.2592592592593,35,54.8387096774194,155,9,0.588235294117647,110.5,26,78,1,4,0,39
"1",30,52.112676056338,75,41,55.5555555555556,234,7,1.11111111111111,160.8,18,68,4,4,1,57
"0",54.4444444444444,51.7241379310345,42.1052631578947,34,46.1538461538462,89,7,0.294117647058824,52.1,0,53,0,1,0,20
"0",48.1481481481481,45.2380952380952,42.4657534246575,33,55.5555555555556,195,3,0.736842105263158,131.4,21,70,3,1,1,49
"0",50.6666666666667,52.112676056338,53.3333333333333,37,55.5555555555556,200,1,1,125.5,14,64,1,0,0,49
"0",28.5714285714286,49.3150684931507,42.4657534246575,29,55.5555555555556,159,10,0.5,110.2,14,58,1,1,0,46
"0",28.5714285714286,49.2753623188406,45.8823529411765,37,60,168,3,0.764705882352941,117,24,59,2,2,0,47
"1",54.4444444444444,55.8139534883721,42.1052631578947,37,46.1538461538462,102,7,0.368421052631579,76.7,17,48,0,0,0,28
"0",30,49.3150684931507,45.8823529411765,36,60,124,3,0.391304347826087,96.5,13,48,1,6,0,36
"1",100,55.8139534883721,42.4657534246575,42,60,168,6,0.736842105263158,113.4,16,73,2,6,2,44
"1",54.4444444444444,49.2753623188406,75,24,46.1538461538462,179,3,1.71428571428571,123.2,22,94,2,2,1,54
"1",54.4444444444444,49.3150684931507,42.4657534246575,35,60,175,7,1,122.2,16,73,2,2,1,53
"0",54.4444444444444,51.7241379310345,42.1052631578947,31,46.1538461538462,103,4,0.352941176470588,58.2,9,45,0,1,1,22
"0",48.1481481481481,49.2753623188406,42.1052631578947,34,46.1538461538462,103,9,0.35,74.7,13,70,1,1,0,28
"1",54.4444444444444,52.112676056338,42.4657534246575,37,55.5555555555556,183,7,1,123,17,77,1,1,1,51
"1",54.4444444444444,55.8139534883721,45.8823529411765,36,60,127,6,0.714285714285714,79.9,14,68,0,0,0,40
"0",48.1481481481481,45.2380952380952,45.8823529411765,43,55.5555555555556,96,6,0.380952380952381,62.4,12,64,0,0,0,22
"0",54.4444444444444,55.8139534883721,45.8823529411765,30,46.1538461538462,174,5,0.75,122.6,28,67,1,0,0,49
"1",54.4444444444444,49.3150684931507,42.4657534246575,25,46.1538461538462,194,12,1,123.9,16,88,1,0,0,55
"0",54.4444444444444,51.7241379310345,42.4657534246575,28,33.3333333333333,203,8,0.705882352941177,126.1,19,68,1,3,1,50
"0",50.6666666666667,50,42.4657534246575,34,33.3333333333333,170,1,0.6875,123.5,20,48,2,4,0,55
"0",54.4444444444444,51.7241379310345,59.2592592592593,25,60,169,10,0.4,123.4,13,81,1,0,0,50
"1",48.1481481481481,45.2380952380952,42.1052631578947,40,60,104,9,0.24,79,20,50,1,4,0,28
"0",50.6666666666667,52.112676056338,45.8823529411765,33,55.5555555555556,114,3,0.294117647058824,85.1,24,50,3,4,0,36
"1",54.4444444444444,49.3150684931507,42.4657534246575,28,54.8387096774194,150,4,0.833333333333333,97.5,25,61,0,1,0,35
"0",54.4444444444444,55.8139534883721,42.4657534246575,29,33.3333333333333,134,6,0.6,97.5,22,68,1,1,0,36
"0",54.4444444444444,51.7241379310345,42.4657534246575,20,55.5555555555556,134,5,0.384615384615385,86.5,21,46,1,3,0,34
"1",50.6666666666667,50,53.3333333333333,40,55.5555555555556,214,3,1,141,19,79,2,1,0,55
"0",50.6666666666667,50,42.4657534246575,38,46.1538461538462,199,7,0.941176470588235,118.6,10,64,3,2,2,47
"0",30,55.8139534883721,42.4657534246575,28,55.5555555555556,189,2,0.666666666666667,122.2,19,56,3,4,1,47
"0",50.6666666666667,51.5625,42.4657534246575,45,0,207,5,1.17647058823529,126.8,15,65,3,3,3,45
"1",48.1481481481481,45.2380952380952,59.2592592592593,38,46.1538461538462,173,9,0.684210526315789,109.7,17,67,5,3,1,40
"0",50.6666666666667,49.3150684931507,42.4657534246575,33,60,130,1,0.785714285714286,79.9,18,55,2,2,0,37
"0",50.6666666666667,50,45.4545454545455,38,46.1538461538462,236,7,1.05882352941176,156.6,22,86,1,3,0,63
"1",50.6666666666667,49.3150684931507,53.3333333333333,25,55.5555555555556,205,5,1.625,137.3,16,88,0,2,0,72
"1",50.6666666666667,51.5625,42.4657534246575,41,60,148,2,0.684210526315789,109.7,16,62,3,0,0,42
"1",54.4444444444444,45.2380952380952,42.1052631578947,32,60,86,10,0.454545454545455,52.8,8,63,0,0,0,27
"1",54.4444444444444,52.112676056338,42.1052631578947,50,60,111,8,0.611111111111111,73.7,12,60,1,4,0,27
"1",54.4444444444444,50,45.8823529411765,33,61.5384615384615,90,5,0.636363636363636,50.4,19,60,1,3,0,25
"0",50.6666666666667,49.3150684931507,42.1052631578947,49,61.5384615384615,150,7,0.571428571428571,101.5,12,73,2,3,0,37
"1",54.4444444444444,51.7241379310345,42.4657534246575,44,33.3333333333333,188,7,1.0625,125,21,71,0,4,1,50
"0",50.6666666666667,50,59.2592592592593,22,33.3333333333333,107,0,0.25,76.3,17,33,0,4,0,31
"0",48.1481481481481,45.2380952380952,45.8823529411765,49,0,117,9,0.392857142857143,68.7,9,53,1,1,1,22
"0",50.6666666666667,55.8139534883721,71.4285714285714,36,60,310,5,1.33333333333333,211.6,30,87,7,2,1,82
"1",50.6666666666667,51.7241379310345,45.4545454545455,32,61.5384615384615,233,5,1.125,133.6,20,62,3,3,3,51
"0",50.6666666666667,51.5625,59.2592592592593,38,0,157,2,0.666666666666667,106.8,26,57,1,4,0,44
"0",33.3333333333333,49.3150684931507,55.5555555555556,36,33.3333333333333,228,7,0.882352941176471,152.8,27,71,4,1,0,52
"1",54.4444444444444,52.112676056338,42.1052631578947,41,61.5384615384615,120,7,0.5,81.6,10,57,1,3,0,30
"0",54.4444444444444,45.2380952380952,59.2592592592593,36,0,155,10,0.5625,114.7,18,70,1,3,0,45
"1",54.4444444444444,55.8139534883721,42.1052631578947,42,50,97,7,0.315789473684211,73.9,11,52,2,6,0,27
"1",48.1481481481481,50,59.2592592592593,38,33.3333333333333,165,8,0.736842105263158,103,9,71,3,1,1,39
"1",50.6666666666667,50,59.2592592592593,36,46.1538461538462,183,9,0.8,125.1,15,86,3,0,0,51
"1",50.6666666666667,51.7241379310345,75,36,33.3333333333333,229,6,1.41666666666667,132.5,9,76,4,1,2,49
"0",50.6666666666667,52.112676056338,75,42,55.5555555555556,216,5,0.888888888888889,148.9,15,75,5,5,1,57
"1",66.6666666666667,49.3150684931507,59.2592592592593,36,55.5555555555556,176,6,0.8,122.9,15,57,2,4,1,51
"1",54.4444444444444,51.5625,59.2592592592593,38,46.1538461538462,157,4,0.857142857142857,93.9,18,68,2,0,1,38
"1",54.4444444444444,49.3150684931507,42.4657534246575,37,60,155,15,0.5,107,7,86,2,2,0,38
"1",50.6666666666667,55.8139534883721,75,27,60,187,4,0.583333333333333,121.5,12,62,3,1,1,49
"0",54.4444444444444,52.112676056338,42.4657534246575,37,50,143,5,0.578947368421053,87.1,15,50,0,2,1,36
"0",50.6666666666667,49.3150684931507,42.1052631578947,38,61.5384615384615,131,7,0.4,97.2,10,57,3,7,1,36
"0",50.6666666666667,50,42.4657534246575,35,61.5384615384615,115,3,0.35,78.9,10,48,3,7,0,29
"0",45.4545454545455,52.112676056338,45.8823529411765,25,61.5384615384615,106,4,0.3125,69.8,15,65,1,3,0,28
"0",50.6666666666667,51.7241379310345,45.4545454545455,30,61.5384615384615,245,4,0.9375,149.9,18,78,5,2,1,56
"1",48.1481481481481,45.2380952380952,45.4545454545455,37,55.5555555555556,232,10,0.941176470588235,148.7,16,80,3,1,1,54
"1",50.6666666666667,45.2380952380952,78.5714285714286,32,44.8275862068966,285,6,1.58333333333333,201.5,23,84,0,3,1,91
"0",50.6666666666667,51.5625,42.4657534246575,45,54.8387096774194,186,4,0.772727272727273,122.3,15,71,2,7,1,43
"1",33.3333333333333,49.3150684931507,75,30,54.8387096774194,178,9,0.846153846153846,117.2,13,63,3,4,0,55
"0",45.4545454545455,50,42.1052631578947,35,55.5555555555556,164,6,0.666666666666667,98.7,25,71,1,2,1,40
"1",50.6666666666667,51.7241379310345,45.4545454545455,32,46.1538461538462,258,3,1.30769230769231,158.6,21,74,5,2,2,60
"0",33.3333333333333,49.3150684931507,45.4545454545455,40,53.3333333333333,247,7,1.05555555555556,142.7,19,82,1,0,2,61
"0",50.6666666666667,45.2380952380952,42.1052631578947,32,54.8387096774194,118,7,0.2,94.9,11,65,3,3,0,39
"1",54.4444444444444,49.2753623188406,45.4545454545455,38,54.8387096774194,251,19,1.05882352941176,142.5,11,86,1,1,2,46
"1",100,51.5625,42.1052631578947,22,54.8387096774194,110,5,0.4,84.8,9,83,0,0,0,28
"0",54.4444444444444,49.2753623188406,75,24,55.5555555555556,209,3,0.714285714285714,126.4,15,53,1,5,0,45
"0",48.1481481481481,45.2380952380952,42.4657534246575,8,46.1538461538462,60,0,0.25,43.2,25,40,0,1,0,24
"0",54.4444444444444,51.5625,45.8823529411765,25,54.8387096774194,97,6,0.357142857142857,66.5,8,59,0,1,0,27
"1",54.4444444444444,49.3150684931507,42.1052631578947,29,54.8387096774194,137,12,0.636363636363636,93.1,11,72,0,0,1,38
"1",50.6666666666667,49.2753623188406,59.2592592592593,27,55.5555555555556,110,4,0.4,74.9,19,67,2,4,0,32
"1",30,51.5625,42.1052631578947,39,55.5555555555556,124,2,0.5,84,7,46,0,3,0,31
"1",48.1481481481481,45.2380952380952,42.1052631578947,34,55.5555555555556,97,10,0.315789473684211,66.6,9,58,0,2,0,26
"1",50.6666666666667,100,42.4657534246575,35,44.8275862068966,167,11,0.529411764705882,112.6,17,76,1,3,0,42
"1",54.4444444444444,51.7241379310345,45.8823529411765,37,55.5555555555556,125,10,0.727272727272727,85.3,22,75,1,1,0,33
"1",33.3333333333333,49.3150684931507,42.1052631578947,15,46.1538461538462,58,3,0.75,30.8,14,67,0,0,0,15
"1",54.4444444444444,50,42.1052631578947,37,46.1538461538462,102,9,0.533333333333333,76.5,18,71,2,2,0,32
"1",45.4545454545455,49.2753623188406,42.1052631578947,41,60,99,6,0.444444444444444,68.1,21,62,1,3,0,29
"1",50.6666666666667,51.5625,55.5555555555556,22,46.1538461538462,246,1,2,141,20,100,3,0,1,72
"0",33.3333333333333,45.2380952380952,59.2592592592593,27,60,184,7,0.6,130.8,23,65,0,2,0,54
"0",54.4444444444444,45.2380952380952,45.8823529411765,39,60,133,17,0.733333333333333,75.6,7,77,1,1,0,31
"1",50.6666666666667,49.3150684931507,75,9,46.1538461538462,203,2,0.5,120.8,12,80,1,1,0,54
"1",54.4444444444444,100,42.4657534246575,35,61.5384615384615,164,9,0.75,102.2,21,77,3,2,0,40
"0",50.6666666666667,49.3150684931507,45.8823529411765,41,60,154,12,0.476190476190476,111.1,13,54,2,5,0,46
"1",54.4444444444444,49.2753623188406,42.1052631578947,34,60,115,5,0.5,84.6,28,50,1,2,0,35
"1",50.6666666666667,50,53.3333333333333,29,46.1538461538462,189,5,1.16666666666667,117.9,16,83,1,2,0,46
"1",50.6666666666667,45.2380952380952,45.4545454545455,37,46.1538461538462,277,5,1.69230769230769,184,22,82,3,2,0,73
"0",50.6666666666667,51.7241379310345,45.4545454545455,31,54.8387096774194,258,7,1,165.6,14,72,1,4,2,70
"0",33.3333333333333,49.3150684931507,53.3333333333333,25,44.8275862068966,191,6,0.666666666666667,124.1,13,71,0,2,1,49
"0",50.6666666666667,51.5625,45.4545454545455,35,44.8275862068966,215,11,1,133.8,13,70,6,3,3,55
"1",50.6666666666667,100,45.4545454545455,43,61.5384615384615,226,7,0.941176470588235,159.8,12,70,1,3,1,61
"0",50.6666666666667,49.2753623188406,45.8823529411765,19,33.3333333333333,138,5,0.285714285714286,110,15,57,0,5,1,48
"1",54.4444444444444,45.2380952380952,45.8823529411765,43,61.5384615384615,148,15,0.619047619047619,83.4,12,65,1,1,1,29
"1",50.6666666666667,50,42.4657534246575,32,61.5384615384615,185,5,1.07142857142857,115.3,23,75,2,2,1,46
"0",50.6666666666667,49.3150684931507,75,46,53.3333333333333,206,8,0.736842105263158,134.6,23,73,5,5,2,48
"0",50.6666666666667,50,59.2592592592593,30,55.5555555555556,162,3,0.5,115.4,13,44,1,3,0,49
"1",54.4444444444444,51.7241379310345,78.5714285714286,22,54.8387096774194,243,8,1.3,148.8,13,81,2,3,1,64
"0",50.6666666666667,49.3150684931507,42.4657534246575,33,46.1538461538462,184,3,0.705882352941177,128.6,17,55,5,4,0,60
